,Image_Name,Colors,Hex_Numbers
1,1705596640155180873.jpg,"[['AntiqueWhite', 'Sienna', 'Goldenrod', 'Black', 'Peru', 'Burlywood', 'Gold']]","[['#faebd7', '#a0522d', '#daa520', '#000000', '#cd853f', '#deb887', '#ffd700']]"
2,1705596640843210194.jpg,"[['DarkSalmon', 'SaddleBrown', 'Tan', 'Black', 'DarkRed']]","[['#e9967a', '#8b4513', '#d2b48c', '#000000', '#8b0000']]"
3,1705718291035347892.jpg,"[['LightBlue', 'DarkSlateGray', 'SteelBlue', 'DarkGray', 'DarkOliveGreen', 'DimGray']]","[['#add8e6', '#2f4f4f', '#4682b4', '#a9a9a9', '#556b2f', '#696969']]"
4,1706939989231494394.jpg,"[['Black', 'DimGray', 'CornflowerBlue', 'LightGray', 'SaddleBrown', 'Burlywood', 'Crimson']]","[['#000000', '#696969', '#6495ed', '#d3d3d3', '#8b4513', '#deb887', '#dc143c']]"
5,1707889416683209908.jpg,"[['LightSlateGray', 'SteelBlue', 'Gainsboro', 'PaleVioletRed']]","[['#778899', '#4682b4', '#dcdcdc', '#db7093']]"
6,1708332188720685324.jpg,"[['Black', 'PeachPuff', 'Firebrick', 'DarkSeaGreen', 'Sienna', 'DarkSalmon']]","[['#000000', '#ffdab9', '#b22222', '#8fbc8f', '#a0522d', '#e9967a']]"
7,1709104350716911879.jpg,"[['Black', 'PaleVioletRed', 'DarkOrchid', 'LightGray', 'Purple', 'Sienna', 'ForestGreen']]","[['#000000', '#db7093', '#9932cc', '#d3d3d3', '#800080', '#a0522d', '#228b22']]"
8,1709228616242185237.jpg,"[['Black', 'Silver', 'DimGray']]","[['#000000', '#c0c0c0', '#696969']]"
9,1709228616485525117.jpg,"[['Black', 'WhiteSmoke', 'Gray']]","[['#000000', '#f5f5f5', '#808080']]"
10,1709228616670168444.jpg,"[['Silver', 'DimGray', 'Black', 'WhiteSmoke']]","[['#c0c0c0', '#696969', '#000000', '#f5f5f5']]"
11,1709755902657962535.jpg,"[['IndianRed', 'Black', 'RosyBrown', 'DimGray', 'Brown', 'AntiqueWhite']]","[['#cd5c5c', '#000000', '#bc8f8f', '#696969', '#a52a2a', '#faebd7']]"
12,1709945216721367987.jpg,"[['Gray', 'LightGray', 'Black', 'IndianRed']]","[['#808080', '#d3d3d3', '#000000', '#cd5c5c']]"
13,1710546886098616017.jpg,"[['Violet', 'SlateBlue', 'DarkViolet', 'DarkSlateBlue', 'BlueViolet', 'Plum']]","[['#ee82ee', '#6a5acd', '#9400d3', '#483d8b', '#8a2be2', '#dda0dd']]"
14,1710799909962098932.jpg,"[['Black', 'Peru', 'Tan', 'SaddleBrown', 'MidnightBlue', 'DimGray', 'Goldenrod']]","[['#000000', '#cd853f', '#d2b48c', '#8b4513', '#191970', '#696969', '#daa520']]"
15,1711470155219607303.jpg,"[['SandyBrown', 'Black', 'DimGray', 'LightPink', 'DarkGoldenrod', 'PeachPuff']]","[['#f4a460', '#000000', '#696969', '#ffb6c1', '#b8860b', '#ffdab9']]"
16,1712133285847440637.jpg,"[['Sienna', 'DarkSlateGray', 'Gainsboro', 'Goldenrod', 'LightSlateGray', 'Plum']]","[['#a0522d', '#2f4f4f', '#dcdcdc', '#daa520', '#778899', '#dda0dd']]"
17,1713138594506123108.jpg,"[['Black', 'Magenta', 'LightGoldenrod', 'LightSlateGray', 'RosyBrown', 'MidnightBlue']]","[['#000000', '#ff00ff', '#eedd82', '#778899', '#bc8f8f', '#191970']]"
18,1713874236789851841.jpg,"[['DarkSlateBlue', 'RosyBrown', 'LightSkyBlue', 'Black', 'RosyBrown']]","[['#483d8b', '#bc8f8f', '#87cefa', '#000000', '#bc8f8f']]"
19,1713921646828435914.jpg,"[['Gold', 'DarkOliveGreen', 'Firebrick', 'LightGoldenrod', 'Black', 'Olive', 'Goldenrod']]","[['#ffd700', '#556b2f', '#b22222', '#eedd82', '#000000', '#808000', '#daa520']]"
20,1714498590951251925.jpg,"[['DarkGray', 'Black', 'Brown', 'WhiteSmoke']]","[['#a9a9a9', '#000000', '#a52a2a', '#f5f5f5']]"
21,1715917305672466683.jpg,"[['Black', 'Tan', 'DimGray', 'SlateGray', 'LightGray']]","[['#000000', '#d2b48c', '#696969', '#708090', '#d3d3d3']]"
22,1717370735448489400.jpg,"[['SlateGray', 'Tan', 'Brown', 'Gainsboro', 'DimGray', 'Crimson']]","[['#708090', '#d2b48c', '#a52a2a', '#dcdcdc', '#696969', '#dc143c']]"
23,1717540351961396952.jpg,"[['Black', 'WhiteSmoke', 'CornflowerBlue', 'DarkGray']]","[['#000000', '#f5f5f5', '#6495ed', '#a9a9a9']]"
24,1719557170867817686.jpg,"[['SlateGray', 'LightGray', 'DarkSlateBlue', 'SteelBlue', 'DimGray', 'DarkGray', 'LightSteelBlue', 'Black']]","[['#708090', '#d3d3d3', '#483d8b', '#4682b4', '#696969', '#a9a9a9', '#b0c4de', '#000000']]"
25,1723940704206408798.jpg,"[['Black', 'LightGray', 'Crimson', 'DimGray', 'IndianRed']]","[['#000000', '#d3d3d3', '#dc143c', '#696969', '#cd5c5c']]"
26,1724209958784738928.jpg,"[['Gainsboro', 'Black', 'Tan', 'DarkSlateBlue', 'SkyBlue', 'Sienna', 'SteelBlue', 'Gray']]","[['#dcdcdc', '#000000', '#d2b48c', '#483d8b', '#87ceeb', '#a0522d', '#4682b4', '#808080']]"
27,1726225105792281163.jpg,"[['Gainsboro', 'DimGray', 'Black', 'Brown', 'SeaGreen']]","[['#dcdcdc', '#696969', '#000000', '#a52a2a', '#2e8b57']]"
28,1726225111949766807.jpg,"[['DarkSlateGray', 'Silver', 'DimGray', 'Brown', 'SeaGreen']]","[['#2f4f4f', '#c0c0c0', '#696969', '#a52a2a', '#2e8b57']]"
29,1726225113316855525.jpg,"[['Gainsboro', 'DimGray', 'Gray', 'Black', 'Brown', 'SeaGreen']]","[['#dcdcdc', '#696969', '#808080', '#000000', '#a52a2a', '#2e8b57']]"
30,1726310506343284147.jpg,"[['PaleVioletRed', 'Black', 'Lavender', 'DeepPink', 'RosyBrown', 'Burlywood', 'MediumVioletRed', 'DimGray']]","[['#db7093', '#000000', '#e6e6fa', '#ff1493', '#bc8f8f', '#deb887', '#c71585', '#696969']]"
31,1726310507383572968.jpg,"[['DimGray', 'RosyBrown', 'PaleVioletRed', 'Black', 'DeepPink', 'Burlywood']]","[['#696969', '#bc8f8f', '#db7093', '#000000', '#ff1493', '#deb887']]"
32,1727618575097526883.jpg,"[['AliceBlue', 'DimGray', 'DarkGray', 'Black', 'DarkCyan']]","[['#f0f8ff', '#696969', '#a9a9a9', '#000000', '#008b8b']]"
33,1728311906005890867.jpg,"[['RosyBrown', 'White', 'DimGray', 'Red', 'Coral', 'PaleVioletRed', 'SkyBlue', 'DarkSlateGray']]","[['#bc8f8f', '#ffffff', '#696969', '#ff0000', '#ff7f50', '#db7093', '#87ceeb', '#2f4f4f']]"
34,1729176696202863386.jpg,"[['DimGray', 'RosyBrown', 'RoyalBlue', 'DarkGoldenrod', 'LightGoldenrod', 'Black', 'Gainsboro']]","[['#696969', '#bc8f8f', '#4169e1', '#b8860b', '#eedd82', '#000000', '#dcdcdc']]"
